FIELD_MGT_NO,EQ_NM,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
3-3H1-M-PMP-001-2,냉난방순환펌프(난방_TC2_West_Zone),냉난방순환펌프(난방_TC2_West_Zone),기계,기계그룹-기계사업소-기계-0043194,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방순환펌프,IFAC00000194,2026-05-27 14:51
3-3H1-M-INV-AHU19-T-R8,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0044515,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00000491,2026-05-21 15:26
3-3H1-M-ECP-00001,열량계_유량계패널,열량계_유량계패널,기계,기계그룹-기계사업소-기계-0044752,외곽지역,제2교통센터,지하2층,미분류,미분류,기계,공구/계측/소모품,정밀 계측기기,초음파유량계,IFAC00001408,2026-05-21 16:13
3-3H1-M-PMP-001-1,냉난방순환펌프(난방_TC2_West_Zone),냉난방순환펌프(난방_TC2_West_Zone),기계,기계그룹-기계사업소-기계-0043193,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방순환펌프,IFAC00001984,2026-05-27 14:49
3-3H1-M-ETS-002,팽창기수분리기(난방),팽창기수분리기(난방),기계,기계그룹-기계사업소-기계-0041198,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,IFAC00002245,2026-05-21 15:45
3-3H1-E-MCC-1212EP,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0041805,외곽지역,제2교통센터,미분류,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00002480,2026-05-21 16:37
3-3H1-M-PMP-004,냉난방순환펌프(바닥복사),냉난방순환펌프(바닥복사),기계,기계그룹-기계사업소-기계-0043204,외곽지역,제2교통센터,지하2층,04섹터,미분류,기계,냉난방/공조,복사/바닥 난방,바닥난방시스템,IFAC00002590,2026-05-27 16:01
3-3H1-M-PMP-015,배수펌프(PKG),배수펌프(PKG),기계,기계그룹-기계사업소-기계-0046458,외곽지역,제2교통센터,지하1층,15섹터,미분류,기계,급수/배수/위생,배수/오수펌프,오배수펌프,IFAC00002953,2026-05-21 16:31
3-3H1-M-PMP-003B-2,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045845,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00004333,2026-05-27 14:34
3-3H1-M-PMP-001,냉난방순환펌프(바닥복사),냉난방순환펌프(바닥복사),기계,기계그룹-기계사업소-기계-0043042,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,복사/바닥 난방,바닥난방시스템,IFAC00004527,2026-05-27 15:58
