FIELD_MGT_NO_현장관리번호,EQ_NM_시설명칭,EQ_NO,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4
,B1.5-0126,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000001,탑승단지>제2터미널지역>본관구역,제2교통센터,지하1.5층,,B1.5-0126,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7642,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000002,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7642,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7741,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000003,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7741,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7742,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000004,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7742,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9041,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000005,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9041,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9042,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000006,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9042,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9141,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000007,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9141,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9142,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000008,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9142,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9341,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000009,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9341,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9342,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000010,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9342,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9347,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000011,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9347,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9348,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000012,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9348,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3441,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000013,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3441,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3442,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000014,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3442,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3551,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000015,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3551,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3552,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000016,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3552,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3641,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000017,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3641,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3642,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000018,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3642,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3841,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000019,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3841,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3842,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000020,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3842,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8341,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000021,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8341,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8342,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000022,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8342,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8441,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000023,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8441,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7641,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000024,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7641,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-7542,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000025,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-7542,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,1-7-12 여,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000026,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-7-12 여,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-4204,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000027,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-4204,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-4203,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000028,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-4203,기계,급수/배수/위생,위생기구/세면기/변기,화장실
