FIELD_MGT_NO,EQ_NM,EQ_NO,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
,화장실 R2005 남,,화장실 R2005 남,환경미화,기타-환경미화사업소-환경미화-0000249,탑승단지>탑승동지역>탑승구역,탑승동,2층,,R2005 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000056,2009-01-01 2:05
,화장실 1F-0241 남 ,,화장실 1F-0241 남 ,환경미화,기타-환경미화사업소-환경미화-0000673,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,1층,,1F-0241 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000208,2009-01-03 18:50
,화장실 R3010 남,,화장실 R3010 남,환경미화,기타-환경미화사업소-환경미화-0000289,탑승단지>탑승동지역>탑승구역,탑승동,3층,,R3010 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000209,2009-01-01 1:40
,화장실 1F-1603 남 ,,화장실 1F-1603 남 ,환경미화,기타-환경미화사업소-환경미화-0000627,탑승단지>제2터미널지역>본관구역,제2단기주차장,1층,,1F-1603 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000246,2009-01-03 17:49
,화장실 3F-3408 남 ,,화장실 3F-3408 남 ,환경미화,기타-환경미화사업소-환경미화-0000571,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,3층,,3F-3408 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000361,2009-01-01 4:53
,화장실 B1-0827 남 ,,화장실 B1-0827 남 ,환경미화,기타-환경미화사업소-환경미화-0000661,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0827 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000422,2009-01-03 23:59
,화장실 B1-1610 남 ,,화장실 B1-1610 남 ,환경미화,기타-환경미화사업소-환경미화-0000609,탑승단지>제2터미널지역>본관구역,제2교통센터,지하1층,,B1-1610 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000492,2009-01-01 1:43
,화장실 1F-0504 여 ,,화장실 1F-0504 여 ,환경미화,기타-환경미화사업소-환경미화-0000670,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,1층,,1F-0504 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000551,2009-01-03 18:47
,화장실 B1-11-35  여,,화장실 B1-11-35  여,환경미화,기타-환경미화사업소-환경미화-0000456,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-11-35  여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000573,2009-01-01 6:13
,화장실 B1-11-22  남,,화장실 B1-11-22  남,환경미화,기타-환경미화사업소-환경미화-0000453,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-11-22  남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000573,2009-01-01 6:15
,화장실 1F-1003 여 ,,화장실 1F-1003 여 ,환경미화,기타-환경미화사업소-환경미화-0000616,탑승단지>제2터미널지역>본관구역,제2교통센터,1층,,1F-1003 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00000795,2009-01-03 17:43
,화장실 1-6-13  여,,화장실 1-6-13  여,환경미화,기타-환경미화사업소-환경미화-0000442,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-6-13  여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00001377,2009-01-03 22:47
