현장관리번호,시설번호,시설명칭,기능위치명,기능시설명,구분,F1(대),F2(중),F3(소),F4(세),L2(단지),L3(건물),L4(층),L5(섹터),L6(룸),L7(상세),자산번호,자산명,설비범주명,시설유형,관리부서명,작업장,시설그룹명(공종),코스트센터명,과업,사업소,그룹,식별구분,식별번호,기능위치일련번호,TOBE_위치코드,상위현장관리번호,CFMS기등록여부,사용여부,소스구분,담당자,음영여부
11-001,8001814.0,여객터미널 리프트컬럼 유압실린더 - 1,여객터미널-운송-탑승교설비-GATE 1-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-001,A1A01-F-020101,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020101,13A0MPBB010,Y,사용,CFMS,이철,
11-002,8001815.0,여객터미널 리프트컬럼 유압실린더 - 2,여객터미널-운송-탑승교설비-GATE 1-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-002,A1A01-F-020101,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020101,13A0MPBB010,Y,사용,CFMS,이철,
11-003,8001816.0,여객터미널 리프트컬럼 유압실린더 - 3,여객터미널-운송-탑승교설비-GATE 2-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-003,A1A01-F-020201,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020201,13A0MPBB020,Y,사용,CFMS,이철,
11-004,8001817.0,여객터미널 리프트컬럼 유압실린더 - 4,여객터미널-운송-탑승교설비-GATE 2-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-004,A1A01-F-020201,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020201,13A0MPBB020,Y,사용,CFMS,이철,
11-005,8001818.0,여객터미널 리프트컬럼 유압실린더 - 5,여객터미널-운송-탑승교설비-GATE 3-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-005,A1A01-F-020301,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020301,13A0MPBB030,Y,사용,CFMS,이철,
11-006,8001819.0,여객터미널 리프트컬럼 유압실린더 - 6,여객터미널-운송-탑승교설비-GATE 3-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-006,A1A01-F-020301,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020301,13A0MPBB030,Y,사용,CFMS,이철,
11-007,8001820.0,여객터미널 리프트컬럼 유압실린더 - 7,여객터미널-운송-탑승교설비-GATE 6-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000568.0,1단계 이동식탑승교 중앙감시시스템,순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-007,A1A01-F-020401,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020401,13A0MPBB061,Y,사용,CFMS,이철,
11-008,8001821.0,여객터미널 리프트컬럼 유압실린더 - 8,여객터미널-운송-탑승교설비-GATE 6-PBB1,PBB1,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000568.0,1단계 이동식탑승교 중앙감시시스템,순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-008,A1A01-F-020401,ICN-T1M-T1B-B1F-Z99-Z99-A1A01-F-020401,13A0MPBB061,Y,사용,CFMS,이철,
11-009,8001822.0,여객터미널 리프트컬럼 유압실린더 - 9,여객터미널-운송-탑승교설비-GATE 6-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-009,A1A01-F-020402,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020402,13A0MPBB062,Y,사용,CFMS,이철,
11-010,8001823.0,여객터미널 리프트컬럼 유압실린더 - 10,여객터미널-운송-탑승교설비-GATE 6-PBB2,PBB2,삭제,수송/반송,특수수송설비,탑승교/PBB,탑승교시설,탑승단지>제1터미널지역>본관구역,제1여객터미널,미분류,미분류,미분류,미분류,130000479.0,1단계 이동식탑승교(PBB),순환설비,운송,승강시설팀,탑승교유지보수용역,운송,탑승교시설,탑승교시설 유지관리과업,승강시설사업소,운송그룹,현장관리번호,11-010,A1A01-F-020402,ICN-T1M-T1B-B2F-Z99-Z99-A1A01-F-020402,13A0MPBB062,Y,사용,CFMS,이철,
